Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Comment
LCID.US;598098244;Sell Stop;3;12.04.2022 15:30:28;22.55;12.04.2022 15:54:55;22.47;5.39;5.39;[S/L]
EURUSD;597695164;Buy Stop;0.02;12.04.2022 09:47:14;1.08646;12.04.2022 10:04:02;1.08668;9.89;9.89;[S/L]
EURUSD;597672605;Buy Stop;0.02;12.04.2022 09:31:28;1.0862;12.04.2022 09:43:01;1.08625;2.25;2.25;[S/L]
EURUSD;597592591;Buy Stop;0.02;12.04.2022 08:19:19;1.08679;12.04.2022 08:22:01;1.08643;-16.18;-16.18;[S/L]
EURUSD;597348718;Sell;0.02;11.04.2022 20:59:36;1.08902;11.04.2022 22:01:58;1.08857;20.25;20.25;
EURUSD;597344137;Sell Stop;0.02;11.04.2022 20:53:01;1.08917;11.04.2022 20:58:21;1.08914;1.35;1.35;[S/L]
EURUSD;597343370;Buy;0.02;11.04.2022 20:52:19;1.08944;11.04.2022 20:52:53;1.08922;-9.85;-9.85;
EURUSD;597332470;Sell;0.02;11.04.2022 20:36:36;1.08935;11.04.2022 20:51:54;1.08941;-2.69;-2.69;
EURUSD;597332451;Sell Stop;0.02;11.04.2022 20:36:30;1.08934;11.04.2022 20:36:31;1.08944;-4.49;-4.49;[S/L]
EURUSD;597321741;Sell Stop;0.02;11.04.2022 20:22:22;1.08871;11.04.2022 20:23:22;1.08897;-11.68;-11.68;[S/L]
EURUSD;597311405;Sell;0.02;11.04.2022 20:10:07;1.08855;11.04.2022 20:17:56;1.08882;-12.13;-12.13;
EURUSD;597300960;Sell Stop;0.02;11.04.2022 19:54:41;1.08835;11.04.2022 20:07:48;1.08864;-13.03;-13.03;[S/L]
EURUSD;597290211;Sell Stop;0.02;11.04.2022 19:38:22;1.08817;11.04.2022 19:44:21;1.08849;-14.38;-14.38;[S/L]
EURUSD;597278913;Sell Stop;0.02;11.04.2022 19:23:41;1.08776;11.04.2022 19:26:08;1.08807;-13.93;-13.93;[S/L]
EURUSD;597198968;Buy;0.02;11.04.2022 18:05:13;1.0875;11.04.2022 18:50:39;1.08819;30.94;30.94;
MARA.US;597088041;Sell;3;11.04.2022 16:32:48;22.51;11.04.2022 17:30:41;22.28;15.48;15.48;
MARA.US;597078058;Sell Stop;3;11.04.2022 16:27:04;22.37;11.04.2022 16:32:10;22.69;-21.53;-21.53;[S/L]
EURUSD;596861988;Sell Stop;0.02;11.04.2022 14:32:33;1.08972;11.04.2022 14:44:00;1.0897;0.9;0.90;[S/L]
EURUSD;596633538;Buy Stop;0.02;11.04.2022 11:05:23;1.09068;11.04.2022 11:50:42;1.09215;65.74;65.74;[S/L]
EURUSD;596620019;Buy;0.02;11.04.2022 10:49:59;1.09071;11.04.2022 11:03:51;1.09047;-10.75;-10.75;
EURUSD;596610929;Sell Stop;0.02;11.04.2022 10:42:06;1.0907;11.04.2022 10:48:38;1.09067;1.35;1.35;[S/L]
EURUSD;596606795;Buy Stop;0.02;11.04.2022 10:38:24;1.09101;11.04.2022 10:43:00;1.09063;-17.01;-17.01;[S/L]
EURUSD;596591866;Buy Stop;0.02;11.04.2022 10:27:27;1.0911;11.04.2022 10:35:56;1.09092;-8.06;-8.06;[S/L]
EURUSD;596588650;Buy;0.02;11.04.2022 10:25:07;1.0911;11.04.2022 10:26:21;1.09077;-14.79;-14.79;
EURUSD;596558013;Buy Stop;0.02;11.04.2022 10:07:02;1.09088;11.04.2022 10:21:38;1.091;5.38;5.38;[S/L]
EURUSD;596546914;Sell Stop;0.02;11.04.2022 09:57:27;1.0908;11.04.2022 09:59:30;1.09077;1.35;1.35;[S/L]
EURUSD;596545779;Buy Stop;0.02;11.04.2022 09:56:10;1.0911;11.04.2022 09:57:10;1.09084;-11.64;-11.64;[S/L]
CARDANO;596133091;Sell Stop;50;09.04.2022 15:52:49;1.0366;09.04.2022 18:27:25;1.0351;1.69;1.69;[S/L]
CARDANO;596132293;Buy;50;09.04.2022 15:40:52;1.0461;09.04.2022 15:52:44;1.0367;-10.54;-10.54;
CARDANO;596119503;Sell;50;09.04.2022 12:09:40;1.0331;09.04.2022 15:40:06;1.046;-14.51;-14.51;
EURUSD;595903358;Buy;0.02;08.04.2022 18:08:43;1.08729;08.04.2022 18:29:06;1.08741;5.39;5.39;
EURUSD;595901301;Sell Stop;0.02;08.04.2022 18:06:18;1.08696;08.04.2022 18:08:30;1.08723;-12.16;-12.16;[S/L]
EURUSD;595896397;Buy Stop;0.02;08.04.2022 18:00:28;1.08743;08.04.2022 18:05:59;1.08711;-14.38;-14.38;[S/L]
EURUSD;595757923;Buy Stop;0.02;08.04.2022 16:18:30;1.08489;08.04.2022 16:56:41;1.08704;96.6;96.60;[S/L]
EURUSD;595742301;Buy;0.02;08.04.2022 16:11:04;1.08463;08.04.2022 16:16:16;1.08427;-16.23;-16.23;
LCID.US;595666593;Sell Stop;4;08.04.2022 15:39:13;22.06;08.04.2022 15:45:44;22.03;2.71;2.71;[S/L]
EURUSD;595512419;Buy;0.02;08.04.2022 14:09:39;1.08587;08.04.2022 14:20:26;1.08597;4.51;4.51;
EURUSD;595502507;Buy Stop;0.02;08.04.2022 13:59:19;1.08641;08.04.2022 14:01:27;1.08596;-20.28;-20.28;[S/L]
GBPUSD;595496167;Buy Stop;0.02;08.04.2022 13:49:46;1.3028;08.04.2022 13:53:21;1.30237;-19.36;-19.36;[S/L]
EURUSD;595353265;Buy Stop;0.02;08.04.2022 10:39:22;1.08663;08.04.2022 10:45:40;1.08668;2.25;2.25;[S/L]
EURUSD;595351508;Sell Stop;0.02;08.04.2022 10:36:36;1.08638;08.04.2022 10:39:16;1.08666;-12.64;-12.64;[S/L]
GBPUSD;595345395;Sell Stop;0.02;08.04.2022 10:27:52;1.30471;08.04.2022 10:38:50;1.30468;1.35;1.35;[S/L]
EURUSD;595343417;Buy;0.02;08.04.2022 10:25:17;1.08741;08.04.2022 10:26:23;1.08725;-7.21;-7.21;
EURUSD;595333759;Sell Stop;0.02;08.04.2022 10:15:18;1.0873;08.04.2022 10:22:49;1.08759;-13.08;-13.08;[S/L]
EURUSD;595323776;Sell Stop;0.02;08.04.2022 10:05:30;1.08725;08.04.2022 10:07:39;1.08768;-19.39;-19.39;[S/L]
EURUSD;595304414;Sell Stop;0.02;08.04.2022 09:46:22;1.08552;08.04.2022 09:49:37;1.08577;-11.3;-11.30;[S/L]
EURUSD;595226566;Sell Stop;0.02;08.04.2022 08:16:13;1.08665;08.04.2022 08:24:42;1.08693;-12.64;-12.64;[S/L]
EURUSD;595055702;Sell Stop;0.02;07.04.2022 21:42:36;1.08708;07.04.2022 21:56:25;1.08705;1.35;1.35;[S/L]
EURUSD;595053193;Sell;0.02;07.04.2022 21:40:12;1.08706;07.04.2022 21:41:50;1.08734;-12.63;-12.63;
EURUSD;595028772;Buy;0.02;07.04.2022 21:15:44;1.08768;07.04.2022 21:18:09;1.08741;-12.15;-12.15;
EURUSD;595001503;Buy Stop;0.02;07.04.2022 20:48:41;1.08753;07.04.2022 21:11:28;1.08754;0.45;0.45;[S/L]
EURUSD;594997240;Buy Stop;0.02;07.04.2022 20:42:20;1.08785;07.04.2022 20:45:52;1.08746;-17.55;-17.55;[S/L]
EURUSD;594992803;Buy Stop;0.02;07.04.2022 20:35:40;1.08811;07.04.2022 20:41:09;1.08778;-14.85;-14.85;[S/L]
GBPUSD;594971155;Sell;0.02;07.04.2022 20:13:01;1.30659;07.04.2022 20:14:17;1.30689;-13.52;-13.52;
EURUSD;594962648;Buy Stop;0.02;07.04.2022 20:03:50;1.08834;07.04.2022 20:29:06;1.08837;1.35;1.35;[S/L]
GBPUSD;594950160;Sell;0.02;07.04.2022 19:53:10;1.3067;07.04.2022 20:01:35;1.30669;0.45;0.45;
